id;type;Q_PreAndPost_ChangeHabits;Q_PreAndPost_SustainableWasteImportance;Q_PreAndReplay_RateHabits;Q_Replay_ChangeHabits;Q_Post_Enjoyment;Q_Post_Learning;Q_Post_Recommend;question1Pre;question2Pre;question3Pre;question4Pre;question5Pre;question6Pre;question7Pre
ed6ff119-81bd-4211-a79c-9545a63c8910;sortingGameUserQuestionnaire;3;4;4;;;;;;;;;;;
576f5072-375b-4b97-917a-a5cf95c9e49f;sortingGameUserQuestionnaire;4;5;5;;;;;;;;;;;
ac9f1a4a-f1b6-48be-bacd-a357276fdf5f;sortingGameUserQuestionnaire;;;6;2;;;;;;;;;;
fb9e7af6-4088-4626-a166-3ef3a3a2492f;sortingGameUserQuestionnaire;;;5;1;;;;;;;;;;
10cd62e5-8b8a-41b2-b5ac-2ceba6c3dead;sortingGameUserQuestionnaire;4;3;4;;;;;;;;;;;
c1f4d725-d4b3-4ec7-b58b-7d8e4b67c60e;sortingGameUserQuestionnaire;5;6;5;;;;;;;;;;;
f80e1bdc-7f9d-4000-958f-94b5da4c4316;sortingGameUserQuestionnaire;3;3;3;;;;;;;;;;;
7d681ef8-f8ac-4749-b19f-bcc425ca3e2b;sortingGameUserQuestionnaire;6;6;4;;;;;;;;;;;
766946e0-a1bf-4ae6-a8a2-f5c278f4eaa2;sortingGameUserQuestionnaire;4;4;4;;;;;;;;;;;
ca4505a9-9341-4f0b-9288-12f21e28361b;sortingGameUserQuestionnaire;6;6;1;;;;;;;;;;;
e36cd088-2d8a-4b11-9de1-f45897fd2035;sortingGameUserQuestionnaire;5;6;5;;;;;;;;;;;
68cb05f1-5402-4073-b8f6-3ecf25a525a5;sortingGameUserQuestionnaire;5;5;5;;;;;;;;;;;
f7c43fc2-36b5-4e31-a9e3-74de2ae917b2;sortingGameUserQuestionnaire;5;6;6;;;;;;;;;;;
cb8d94f9-01fc-48bf-a52d-2e9175bab4a9;sortingGameUserQuestionnaire;6;6;6;;6;6;6;;;;;;;
edb2ad1f-cfa4-473c-98d4-6f58f685b7c2;sortingGameUserQuestionnaire;;;4;3;;;;;;;;;;
1ac4eccd-b0a2-4dd3-af29-2484465a9f17;sortingGameUserQuestionnaire;4;4;4;;;;;;;;;;;
c24c87dc-50a0-41ee-9519-135aa25ac3ec;sortingGameUserQuestionnaire;6;6;4;;;;;;;;;;;
e7e7c322-996b-4aa6-bb2f-6ea5c0319182;sortingGameUserQuestionnaire;6;5;4;;;;;;;;;;;
15ab7f69-6c4c-4e35-8879-a5c6c706cefe;sortingGameUserQuestionnaire;4;6;6;;;;;;;;;;;
9570b4e2-4695-42d5-b08a-3cef54a2140a;sortingGameUserQuestionnaire;3;3;3;;;;;;;;;;;
29cce536-199b-46be-8ada-bed364328111;sortingGameUserQuestionnaire;1;6;6;;6;6;6;;;;;;;
fbf15827-f9dc-49f5-8828-1454f1358f12;sortingGameUserQuestionnaire;;;3;3;;;;;;;;;;
a2cffee3-84db-46f5-9f54-1ff8c717927f;sortingGameUserQuestionnaire;4;6;5;;;;;;;;;;;
71c848f9-dd5d-4e3b-ba83-3a238a5f5934;sortingGameUserQuestionnaire;5;4;3;3;;;;;;;;;;
cc8405cf-96a2-490c-b95b-f30ad4c2f48a;sortingGameUserQuestionnaire;4;5;5;;;;;;;;;;;
925036da-13a4-4506-ba6e-6bc207ebc98a;sortingGameUserQuestionnaire;3;4;4;;;;;;;;;;;
e6e18de1-6444-4455-8bdb-3c244378249a;sortingGameUserQuestionnaire;;;5;;6;6;6;;;;;;;
b29d0df9-de82-4fdb-9e28-4fe2388116ef;sortingGameUserQuestionnaire;4;4;4;1;;;;;;;;;;
9805d862-1fa2-48a7-89be-9f0f4f837289;sortingGameUserQuestionnaire;6;6;6;;;;;;;;;;;
22ef882e-222e-4517-83d0-ff4f6dffd2df;sortingGameUserQuestionnaire;1;3;6;;6;6;6;;;;;;;
e57dd2a2-3697-4947-91d0-ce6184e19a94;sortingGameUserQuestionnaire;6;6;6;6;;;;;;;;;;
73fa1607-8c3d-4646-9b1f-ceec1c8cba3a;sortingGameUserQuestionnaire;;;4;3;;;;;;;;;;
c757b29a-6057-4b82-8d5e-0d33dbdbc750;sortingGameUserQuestionnaire;4;6;5;6;;;;;;;;;;
76bd7466-f1ff-4013-b343-5d9a958410ea;sortingGameUserQuestionnaire;4;3;5;5;;;;;;;;;;
bbd4faec-0645-4d25-8765-a8e9a6ded9d1;sortingGameUserQuestionnaire;5;4;2;;;;;;;;;;;
71e2bb90-5e9a-44aa-9cc9-03fc4b59bdbb;sortingGameUserQuestionnaire;3;6;6;;;;;;;;;;;
aeb60834-0a9a-459c-bc42-8cd18bd461b1;sortingGameUserQuestionnaire;5;5;5;;;;;;;;;;;
847754ab-f4d0-4417-9010-e2615c7e4abf;sortingGameUserQuestionnaire;3;6;6;;;;;;;;;;;
6c6911eb-a314-40b2-960c-94017fe2e942;sortingGameUserQuestionnaire;1;6;6;6;;;;;;;;;;
