id;family;type;serialNumber;refSortingType;Description;refType;storedWasteOrigin;location;address;"fillingLevel%%""metadata"": {""unit"": {""value"": ""C62"",""type"": ""String""}}%%";"cargoWeight%%""metadata"": {""unit"": {""value"": ""KGM"",""type"": ""String""}}%%";"temperature%%""metadata"": {""unit"": {""value"": ""CEL"",""type"": ""String""}}%%";"methaneConcentration%%""metadata"": {""unit"": {""value"": ""59"",""type"": ""String""}}%%";regulation;responsible;owner;dateServiceStarted;dateLastEmptying;nextActuationDeadline;actuationHours;openingHours;dateLastCleaning;nextCleaningDeadline;status;color;image;annotations;areaServed;dateModified;refDevice;refDepositPointIsle
8B56C6;Agent;DepositPoint;;SortingType:2;;DepositPointType:0;;" ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -2.884903846, 43.29140194 ] } }";Urkiola kalea, 1, Neinver I industrialdea, Derio -48160.;0;0;0;0;Municipal association;;Txorierri;;;;;;;;ok;;;;;;;
8BA328;Agent;DepositPoint;;SortingType:2;;DepositPointType:0;;" ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -2.877351245, 43.29317911 ] } }";Larrauri kalea, 1, Neinver I industrialdea, Derio -48160.;0;0;0;0;Municipal association;;Txorierri;;;;;;;;ok;;;;;;;
8BA86B;Agent;DepositPoint;;SortingType:2;;DepositPointType:0;;" ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -2.883308737, 43.30770344 ] } }";Trenbide zahar errepidea, San Isidro Derio -48160.;0;0;0;0;Municipal association;;Txorierri;;;;;;;;ok;;;;;;;
8BB821;Agent;DepositPoint;;SortingType:2;;DepositPointType:0;;" ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -2.883465205, 43.29321989 ] } }";Larrabarri ibilbidea, Neinver I industrialdea Derio -48160.;0;0;0;0;Municipal association;;Txorierri;;;;;;;;ok;;;;;;;
8BB914;Agent;DepositPoint;;SortingType:2;;DepositPointType:0;;" ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -2.884781503, 43.29716637 ] } }";Bestorrene kalea, 7, Txozna auzoa, Derio -48160.;0;0;0;0;Municipal association;;Txorierri;;;;;;;;ok;;;;;;;
8BBC89;Agent;DepositPoint;;SortingType:2;;DepositPointType:0;;" ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -2.876122514, 43.29268185 ] } }";Larrauri kalea, 1, Neinver I industrialdea, Derio -48160.;0;0;0;0;Municipal association;;Txorierri;;;;;;;;ok;;;;;;;
8EB170;Agent;DepositPoint;;SortingType:2;;DepositPointType:0;;" ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -2.919179395, 43.27526671 ] } }";Camino Sanroke, Ciudad Jardín / Loruri Sondika -48007.;0;0;0;0;Municipal association;;Txorierri;;;;;;;;ok;;;;;;;
8EB192;Agent;DepositPoint;;SortingType:2;;DepositPointType:0;;" ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -2.877029605, 43.31903115 ] } }";Trenbide zahar errepidea, San Isidro Derio -48170.;0;0;0;0;Municipal association;;Txorierri;;;;;;;;ok;;;;;;;
8EDB91;Agent;DepositPoint;;SortingType:2;;DepositPointType:0;;" ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -2.883561692, 43.29554313 ] } }";Larrabarri ibilbidea, 3, Neinver I industrialdea, Derio -48160.;0;0;0;0;Municipal association;;Txorierri;;;;;;;;ok;;;;;;;
8EDFD8;Agent;DepositPoint;;SortingType:2;;DepositPointType:0;;" ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -2.879967179, 43.29742972 ] } }";Errekalde kalea, Eleizalde Derio -48160.;0;0;0;0;Municipal association;;Txorierri;;;;;;;;ok;;;;;;;
8EE4DB;Agent;DepositPoint;;SortingType:2;;DepositPointType:0;;" ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -2.88540638, 43.29208278 ] } }";Gernikako Arbola etorbidea, 8, Neinver I industrialdea, Derio -48160.;0;0;0;0;Municipal association;;Txorierri;;;;;;;;ok;;;;;;;
8EF2FA;Agent;DepositPoint;;SortingType:2;;DepositPointType:0;;" ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -2.883052182, 43.29011439 ] } }";Txorierri etorbidea, Neinver I industrialdea Derio -48160.;0;0;0;0;Municipal association;;Txorierri;;;;;;;;ok;;;;;;;
B5414A;Agent;DepositPoint;;SortingType:2;;DepositPointType:0;;" ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -2.879864893, 43.2939629 ] } }";Untzaga Ibaia kalea, Arteaga auzoa Derio -48160.;0;0;0;0;Municipal association;;Txorierri;;;;;;;;ok;;;;;;;
B5419C;Agent;DepositPoint;;SortingType:2;;DepositPointType:0;;" ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -2.884781503, 43.29716637 ] } }";Bestorrene kalea, 7, Txozna auzoa, Derio -48160.;0;0;0;0;Municipal association;;Txorierri;;;;;;;;ok;;;;;;;
B541D3;Agent;DepositPoint;;SortingType:2;;DepositPointType:0;;" ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -2.883052182, 43.29011439 ] } }";Txorierri etorbidea, Neinver I industrialdea Derio -48160.;0;0;0;0;Municipal association;;Txorierri;;;;;;;;ok;;;;;;;
B5426C;Agent;DepositPoint;;SortingType:2;;DepositPointType:0;;" ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -2.883540273, 43.29456218 ] } }";Larrabarri ibilbidea, Neinver I industrialdea Derio -48160.;0;0;0;0;Municipal association;;Txorierri;;;;;;;;ok;;;;;;;
B542C3;Agent;DepositPoint;;SortingType:2;;DepositPointType:0;;" ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -2.886121355, 43.30173411 ] } }";Errementariñe kalea, 4, Aldekoena, Derio -48160.;0;0;0;0;Municipal association;;Txorierri;;;;;;;;ok;;;;;;;
B543C2;Agent;DepositPoint;;SortingType:2;;DepositPointType:0;;" ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -2.885593674, 43.30092939 ] } }";Errementariñe kalea, Ganbe Derio -48160.;0;0;0;0;Municipal association;;Txorierri;;;;;;;;ok;;;;;;;
B543E6;Agent;DepositPoint;;SortingType:2;;DepositPointType:0;;" ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -2.876333828, 43.31868156 ] } }";Trenbide zahar errepidea, San Isidro Derio -48170.;0;0;0;0;Municipal association;;Txorierri;;;;;;;;ok;;;;;;;
B543E9;Agent;DepositPoint;;SortingType:2;;DepositPointType:0;;" ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -2.890219144, 43.30165358 ] } }";Ganbe, Derio -48160.;0;0;0;0;Municipal association;;Txorierri;;;;;;;;ok;;;;;;;
B5449B;Agent;DepositPoint;;SortingType:2;;DepositPointType:0;;" ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -2.88364639, 43.29150045 ] } }";Gernikako Arbola etorbidea, Neinver I industrialdea Derio -48160.;0;0;0;0;Municipal association;;Txorierri;;;;;;;;ok;;;;;;;
B5449B;Agent;DepositPoint;;SortingType:2;;DepositPointType:0;;" ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -2.88364639, 43.29150045 ] } }";Gernikako Arbola etorbidea, Neinver I industrialdea Derio -48160.;0;0;0;0;Municipal association;;Txorierri;;;;;;;;ok;;;;;;;
B54A90;Agent;DepositPoint;;SortingType:2;;DepositPointType:0;;" ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -2.883405637, 43.29810805 ] } }";Larrabarri ibilbidea, 11L, Neinver I industrialdea, Derio -48160.;0;0;0;0;Municipal association;;Txorierri;;;;;;;;ok;;;;;;;
B54B11;Agent;DepositPoint;;SortingType:2;;DepositPointType:0;;" ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -2.917292616, 43.27846727 ] } }";Sanroke bidea, Asunción Sondika -48150.;0;0;0;0;Municipal association;;Txorierri;;;;;;;;ok;;;;;;;
B54C14;Agent;DepositPoint;;SortingType:2;;DepositPointType:0;;" ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -2.892618656, 43.30078553 ] } }";San Esteban auzoa, Derio -48160.;0;0;0;0;Municipal association;;Txorierri;;;;;;;;ok;;;;;;;
