Id;Vehiculo;Fecha;Tag;Tipo Residuo;Tipo Contenedor;Frecuencia RSU;Municipio;Poligono;Ruta;Peso;
102359;7501JXG;28/12/2018 16:12:00;ZAMUO;Organico;ct org 1100;4;ZAMUDIO;AREA URBANA;24;150,00;
102358;7501JXG;28/12/2018 16:09:00;ZAMIO;Organico;ct org 1100;2;ZAMUDIO;TORRELARRAGOITI;24;518,00;
102357;7501JXG;28/12/2018 16:07:59;ZAMIO;Organico;ct org 1100;2;ZAMUDIO;TORRELARRAGOITI;24;180,00;
102814;1541CLM;27/12/2018 08:42:59;F07C37;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;13;71,00;
102813;1541CLM;27/12/2018 08:42:00;F07C37;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;13;74,00;
102800;1541CLM;27/12/2018 08:17:00;F0C108;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;13;25,00;
101489;1541CLM;24/12/2018 09:09:59;F07C37;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;13;8,00;
101210;1541CLM;21/12/2018 08:19:00;F07C37;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;17;62,00;
101194;1541CLM;21/12/2018 08:01:59;F0C108;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;17;5,00;
100983;1541CLM;20/12/2018 07:32:59;F07C37;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;16;26,00;
100984;1541CLM;20/12/2018 07:32:59;F07C37;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;16;11,00;
100967;1541CLM;20/12/2018 07:14:00;F0C108;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;16;21,00;
100849;1541CLM;19/12/2018 08:08:00;F07C37;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;15;83,00;
100833;1541CLM;19/12/2018 07:47:00;F0C108;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;15;12,00;
100710;1541CLM;18/12/2018 08:23:59;F07C37;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;14;38,00;
100691;1541CLM;18/12/2018 08:01:00;F0C108;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;14;19,00;
100387;1541CLM;17/12/2018 08:32:59;F07C37;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;13;56,00;
100370;1541CLM;17/12/2018 08:14:00;F0C108;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;13;29,00;
96622;7501JXG;14/12/2018 15:38:59;ZAMIO;Organico;ct org 1100;2;ZAMUDIO;TORRELARRAGOITI;27;338,00;
94982;2618JYP;14/12/2018 09:38:59;ZAMUO;Organico;ct org 1100;4;ZAMUDIO;AREA URBANA;25;37,00;
98413;1541CLM;14/12/2018 08:26:00;F07C37;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;17;41,00;
98396;1541CLM;14/12/2018 08:06:00;F0C108;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;17;41,00;
98183;1541CLM;13/12/2018 08:32:00;F07C37;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;16;46,00;
98167;1541CLM;13/12/2018 08:10:59;F0C108;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;16;18,00;
98105;1541CLM;12/12/2018 08:35:00;F07C37;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;15;95,00;
98088;1541CLM;12/12/2018 08:14:00;F0C108;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;15;10,00;
97852;1541CLM;11/12/2018 08:48:59;F07C37;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;14;44,00;
97837;1541CLM;11/12/2018 08:28:00;F0C108;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;14;26,00;
97587;1541CLM;10/12/2018 08:06:59;F0C108;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;13;22,00;
97392;1541CLM;07/12/2018 08:21:00;F07C37;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;17;29,00;
97376;1541CLM;07/12/2018 08:01:00;F0C108;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;17;106,00;
97296;1541CLM;05/12/2018 08:03:00;F07C37;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;15;90,00;
97278;1541CLM;05/12/2018 07:41:59;F0C108;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;15;12,00;
97046;1541CLM;04/12/2018 08:51:00;F07C37;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;14;71,00;
97030;1541CLM;04/12/2018 08:23:59;F0C108;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;14;197,00;
96784;1541CLM;03/12/2018 08:33:59;F07C37;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;13;118,00;
96762;1541CLM;03/12/2018 08:10:00;F0C108;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;13;56,00;
88810;2618JYP;30/11/2018 12:24:59;ZAMIO;Organico;ct org 1100;2;ZAMUDIO;TORRELARRAGOITI;24;14,00;
88809;2618JYP;30/11/2018 12:24:59;ZAMIO;Organico;ct org 1100;2;ZAMUDIO;TORRELARRAGOITI;24;15,00;
88808;2618JYP;30/11/2018 12:24:00;ZAMIO;Organico;ct org 1100;2;ZAMUDIO;TORRELARRAGOITI;24;1,00;
88807;2618JYP;30/11/2018 12:22:59;ZAMIO;Organico;ct org 1100;2;ZAMUDIO;TORRELARRAGOITI;24;20,00;
