Id;Vehiculo;Fecha;Tag;Tipo Residuo;Tipo Contenedor;Frecuencia RSU;Municipio;Poligono;Ruta;Peso;refSortingType
102571;7501JXG;31/12/2018 13:18:59;F0B5A8;Papel-Cartón;Cl pc 3200;5;ZAMUDIO;AREA URBANA;2;156,00;SortingType:7
102570;7501JXG;31/12/2018 13:18:00;F08144;Papel-Cartón;Cl pc 3200;5;ZAMUDIO;AREA URBANA;2;84,00;SortingType:7
102569;7501JXG;31/12/2018 13:14:59;F094E9;Papel-Cartón;Cl pc 3200;5;ZAMUDIO;AREA URBANA;2;62,00;SortingType:7
102568;7501JXG;31/12/2018 13:12:59;F0A402;Papel-Cartón;Cl pc 3200;5;ZAMUDIO;AREA URBANA;2;68,00;SortingType:7
102567;7501JXG;31/12/2018 13:07:59;F0AA46;Papel-Cartón;Cl pc 3200;5;ZAMUDIO;AREA URBANA;2;102,00;SortingType:7
102566;7501JXG;31/12/2018 13:05:59;F0C8DC;Papel-Cartón;Cl pc 3200;6;ZAMUDIO;AREA URBANA;2;86,00;SortingType:7
102565;7501JXG;31/12/2018 13:03:59;F0986F;Papel-Cartón;Cl pc 3200;6;ZAMUDIO;AREA URBANA;2;2,00;SortingType:7
102564;7501JXG;31/12/2018 13:02:00;F0BD14;Papel-Cartón;Cl pc 3200;5;ZAMUDIO;AREA URBANA;2;130,00;SortingType:7
102563;7501JXG;31/12/2018 13:00:00;F0C215;Papel-Cartón;Cl pc 3200;5;ZAMUDIO;AREA URBANA;2;6,00;SortingType:7
102562;7501JXG;31/12/2018 12:58:59;F0C215;Papel-Cartón;Cl pc 3200;5;ZAMUDIO;AREA URBANA;2;96,00;SortingType:7
101926;2618JYP;31/12/2018 08:32:59;B5417A;Papel-Cartón;Ct pc 360;2;ZAMUDIO;UGALDEGUREN I;23;30,00;SortingType:6
101910;2618JYP;31/12/2018 08:01:00;B54220;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN II;23;8,00;SortingType:6
101810;2618JYP;28/12/2018 07:36:00;F0C5CA;Papel-Cartón;Ct pc 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;23;5,00;SortingType:6
101811;2618JYP;28/12/2018 07:36:00;F0B726;Papel-Cartón;Ct pc 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;23;22,00;SortingType:6
101805;2618JYP;28/12/2018 07:30:00;8EF3E4;Papel-Cartón;Ct pc 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;23;7,00;
101806;2618JYP;28/12/2018 07:30:00;F099C0;Papel-Cartón;Ct pc 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;23;7,00;SortingType:6
101804;2618JYP;28/12/2018 07:27:00;F09F84;Papel-Cartón;Ct pc 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;23;42,00;SortingType:6
