Id;Vehiculo;Fecha;Tag;Tipo Residuo;Tipo Contenedor;Frecuencia RSU;Municipio;Poligono;Ruta;Peso;refSortingType
101977;2618JYP;31/12/2018 11:32:59;B54D5D;Fracción Resto;Ct fr 360;2;ZAMUDIO;UGALDEGUREN I;23;8,00;
101976;2618JYP;31/12/2018 11:21:00;B541E8;Fracción Resto;Ct fr 800;2;ZAMUDIO;UGALDEGUREN III;23;51,00;SortingType:1
101937;2618JYP;31/12/2018 08:53:00;8EC51B;Fracción Resto;Ct fr 800;2;ZAMUDIO;SIN ASIGNAR;23;160,00;SortingType:1
101936;2618JYP;31/12/2018 08:51:59;8BBE89;Fracción Resto;Ct fr 800;2;ZAMUDIO;SIN ASIGNAR;23;99,00;SortingType:1
101935;2618JYP;31/12/2018 08:48:59;8EB194;Fracción Resto;Ct fr 800;2;ZAMUDIO;SIN ASIGNAR;23;6,00;SortingType:1
101934;2618JYP;31/12/2018 08:46:59;8EF988;Fracción Resto;Ct fr 800;2;ZAMUDIO;SIN ASIGNAR;23;74,00;SortingType:1
101933;2618JYP;31/12/2018 08:46:00;8EB5C9;Fracción Resto;Ct fr 800;2;ZAMUDIO;SIN ASIGNAR;23;75,00;SortingType:1
101932;2618JYP;31/12/2018 08:42:59;B54966;Fracción Resto;Ct fr 1100;2;ZAMUDIO;UGALDEGUREN I;23;20,00;SortingType:1
101931;2618JYP;31/12/2018 08:42:00;B53FCE;Fracción Resto;Ct fr 800;2;ZAMUDIO;UGALDEGUREN I;23;29,00;SortingType:1
101925;2618JYP;31/12/2018 08:28:59;B591A9;Fracción Resto;Ct fr 1100;2;ZAMUDIO;UGALDEGUREN I;23;12,00;SortingType:1
101914;2618JYP;31/12/2018 08:10:00;B54E1F;Fracción Resto;Ct fr 800;2;ZAMUDIO;UGALDEGUREN II;23;16,00;SortingType:1
101913;2618JYP;31/12/2018 08:08:00;B5780C;Fracción Resto;Ct fr 800;2;ZAMUDIO;UGALDEGUREN I;23;93,00;SortingType:1
101912;2618JYP;31/12/2018 08:01:00;B54B33;Fracción Resto;Ct fr 800;2;ZAMUDIO;UGALDEGUREN II;23;42,00;SortingType:1
101911;2618JYP;31/12/2018 08:01:00;B54C80;Fracción Resto;Ct fr 800;2;ZAMUDIO;UGALDEGUREN II;23;68,00;SortingType:1
101909;2618JYP;31/12/2018 07:59:59;B54CA8;Fracción Resto;Ct fr 800;2;ZAMUDIO;UGALDEGUREN II;23;75,00;SortingType:1
101908;2618JYP;31/12/2018 07:57:59;B57643;Fracción Resto;Ct fr 800;2;ZAMUDIO;UGALDEGUREN II;23;40,00;SortingType:1
101907;2618JYP;31/12/2018 07:56:00;B54B6A;Fracción Resto;Ct fr 800;2;ZAMUDIO;UGALDEGUREN II;23;16,00;SortingType:1
101906;2618JYP;31/12/2018 07:52:59;B57D97;Fracción Resto;Ct fr 800;2;ZAMUDIO;UGALDEGUREN II;23;24,00;SortingType:1
101905;2618JYP;31/12/2018 07:48:59;B54AE5;Fracción Resto;Ct fr 800;2;ZAMUDIO;UGALDEGUREN II;23;452,00;SortingType:1
101904;2618JYP;31/12/2018 07:45:59;B55094;Fracción Resto;Ct fr 800;2;ZAMUDIO;UGALDEGUREN II;23;8,00;SortingType:1
101903;2618JYP;31/12/2018 07:43:59;B5422C;Fracción Resto;Ct fr 800;2;ZAMUDIO;UGALDEGUREN II;23;55,00;SortingType:1
101902;2618JYP;31/12/2018 07:41:59;B579E2;Fracción Resto;Ct fr 1100;2;ZAMUDIO;UGALDEGUREN II;23;25,00;SortingType:1
101901;2618JYP;31/12/2018 07:39:59;B58E2C;Fracción Resto;Ct fr 1100;2;ZAMUDIO;UGALDEGUREN II;23;30,00;SortingType:1
101900;2618JYP;31/12/2018 07:39:59;B57634;Fracción Resto;Ct fr 1100;2;ZAMUDIO;UGALDEGUREN II;23;40,00;SortingType:1
101899;2618JYP;31/12/2018 07:38:00;B551E3;Fracción Resto;Ct fr 800;2;ZAMUDIO;UGALDEGUREN II;23;108,00;SortingType:1
101896;2618JYP;31/12/2018 07:30:59;B54E25;Fracción Resto;Ct fr 1100;2;ZAMUDIO;UGALDEGUREN III;23;3.794,00;SortingType:1
101897;2618JYP;31/12/2018 07:30:59;B5512C;Fracción Resto;Ct fr 1100;2;ZAMUDIO;UGALDEGUREN III;23;7,00;SortingType:1
101895;2618JYP;31/12/2018 07:27:00;B57E4E;Fracción Resto;Ct fr 800;2;ZAMUDIO;UGALDEGUREN III;23;7,00;SortingType:1
101894;2618JYP;31/12/2018 07:23:59;B550F7;Fracción Resto;Ct fr 1100;2;ZAMUDIO;UGALDEGUREN III;23;12,00;SortingType:1
101893;2618JYP;31/12/2018 07:21:00;8EC5B1;Fracción Resto;Ct fr 800;2;ZAMUDIO;UGALDEGUREN III;23;29,00;SortingType:1
101892;2618JYP;31/12/2018 07:18:59;B58E86;Fracción Resto;Ct fr 800;2;ZAMUDIO;UGALDEGUREN III;23;43,00;SortingType:1
102409;7501JXG;31/12/2018 05:30:00;ZAMIR;Fracción Resto;Ct fr 360;2;ZAMUDIO;TORRELARRAGOITI;7;86,00;
102408;7501JXG;31/12/2018 05:28:59;ZAMIR;Fracción Resto;Ct fr 360;2;ZAMUDIO;TORRELARRAGOITI;7;248,00;
102375;7501JXG;28/12/2018 16:32:59;F0C5C1;Fracción Resto;Cl fr 3200;2;ZAMUDIO;AREA URBANA;24;148,00;SortingType:2
102374;7501JXG;28/12/2018 16:30:59;F08245;Fracción Resto;Cl fr 3200;5;ZAMUDIO;AREA URBANA;24;144,00;SortingType:2
102373;7501JXG;28/12/2018 16:30:00;F0AF5F;Fracción Resto;Cl fr 3200;5;ZAMUDIO;AREA URBANA;24;156,00;SortingType:2
102372;7501JXG;28/12/2018 16:29:00;F0CE51;Fracción Resto;Cl fr 3200;5;ZAMUDIO;AREA URBANA;24;118,00;SortingType:2
102371;7501JXG;28/12/2018 16:27:59;F0CBD7;Fracción Resto;Cl fr 3200;5;ZAMUDIO;AREA URBANA;24;140,00;SortingType:2
102370;7501JXG;28/12/2018 16:27:00;F0BBC3;Fracción Resto;Cl fr 3200;5;ZAMUDIO;AREA URBANA;24;312,00;SortingType:2
102369;7501JXG;28/12/2018 16:25:00;F0C115;Fracción Resto;Cl fr 3200;5;ZAMUDIO;AREA URBANA;24;410,00;SortingType:2
102368;7501JXG;28/12/2018 16:23:59;F09FAB;Fracción Resto;Cl fr 3200;6;ZAMUDIO;AREA URBANA;24;62,00;SortingType:2
102367;7501JXG;28/12/2018 16:23:00;F08A29;Fracción Resto;Cl fr 3200;6;ZAMUDIO;AREA URBANA;24;78,00;SortingType:2
102366;7501JXG;28/12/2018 16:21:59;F084B1;Fracción Resto;Cl fr 3200;6;ZAMUDIO;AREA URBANA;24;42,00;
102365;7501JXG;28/12/2018 16:21:00;F0CF85;Fracción Resto;Cl fr 3200;5;ZAMUDIO;AREA URBANA;24;336,00;SortingType:2
102364;7501JXG;28/12/2018 16:18:59;F0BDB2;Fracción Resto;Cl fr 3200;5;ZAMUDIO;AREA URBANA;24;234,00;SortingType:2
102363;7501JXG;28/12/2018 16:18:00;F0BB15;Fracción Resto;Cl fr 3200;5;ZAMUDIO;AREA URBANA;24;306,00;SortingType:2
102361;7501JXG;28/12/2018 16:16:00;F0AD36;Fracción Resto;Cl fr 3200;5;ZAMUDIO;AREA URBANA;24;192,00;SortingType:2
102362;7501JXG;28/12/2018 16:16:00;F09AA3;Fracción Resto;Cl fr 3200;5;ZAMUDIO;AREA URBANA;24;326,00;SortingType:2
102360;7501JXG;28/12/2018 16:12:59;F0958E;Fracción Resto;Cl fr 3200;5;ZAMUDIO;AREA URBANA;24;70,00;SortingType:2
101861;2618JYP;28/12/2018 10:45:00;ZAMIR;Fracción Resto;Ct fr 360;2;ZAMUDIO;TORRELARRAGOITI;23;37,00;
101862;2618JYP;28/12/2018 10:45:00;B54212;Fracción Resto;Ct fr 800;2;ZAMUDIO;UGALDEGUREN I;23;42,00;SortingType:1
101859;2618JYP;28/12/2018 10:36:00;B58F00;Fracción Resto;Ct fr 800;2;ZAMUDIO;UGALDEGUREN II;23;43,00;SortingType:1
101857;2618JYP;28/12/2018 10:30:00;B59081;Fracción Resto;Ct fr 800;2;ZAMUDIO;UGALDEGUREN III;23;17,00;SortingType:1
101855;2618JYP;28/12/2018 10:18:59;8EFFC0;Fracción Resto;Ct fr 800;2;ZAMUDIO;UGALDEGUREN II;23;0,00;SortingType:1
101854;2618JYP;28/12/2018 10:18:00;8EC253;Fracción Resto;Ct fr 800;2;ZAMUDIO;UGALDEGUREN II;23;0,00;SortingType:1
101853;2618JYP;28/12/2018 10:16:00;8F018D;Fracción Resto;Ct fr 800;2;ZAMUDIO;UGALDEGUREN II;23;44,00;
