id;type;age;countryISO;allTimeLevelsPlayed;currentMaxLevel;currentTotalPoints;gender;latestLevelPlayed
0b473be6-fd35-4e59-a206-0e187f040347;sortingGameUserMetrics;12;ES;8;2;38;female;2
ed6ff119-81bd-4211-a79c-9545a63c8910;sortingGameUserMetrics;35;ES;10;7;1119;female;7
b09fd089-ed65-4580-bab2-8c98219ba5f6;sortingGameUserMetrics;4;ES;6;5;1712;male;5
576f5072-375b-4b97-917a-a5cf95c9e49f;sortingGameUserMetrics;54;GR;1;1;86;female;1
3285d9b9-6980-4e42-8a16-eede4fe80842;sortingGameUserMetrics;;;22;15;3742;;15
66a77658-37cb-4a38-ac4e-011a9ddf4b02;sortingGameUserMetrics;;;13;9;1586;;9
ac9f1a4a-f1b6-48be-bacd-a357276fdf5f;sortingGameUserMetrics;;;137;26;8974;;15
fb9e7af6-4088-4626-a166-3ef3a3a2492f;sortingGameUserMetrics;;;28;13;3717;;13
6d56c31a-a09e-4613-8d54-2a9f5011038e;sortingGameUserMetrics;;;2;2;214;;2
10cd62e5-8b8a-41b2-b5ac-2ceba6c3dead;sortingGameUserMetrics;;;1;1;82;;1
289a5b88-0464-4788-ad06-10648ece69e7;sortingGameUserMetrics;;;13;11;1859;;11
c1f4d725-d4b3-4ec7-b58b-7d8e4b67c60e;sortingGameUserMetrics;32;ES;3;3;404;female;3
e2b0a793-51d7-479a-bd71-eff5ceb5bcc3;sortingGameUserMetrics;unspecified;ES;4;4;476;unspecified;1
f80e1bdc-7f9d-4000-958f-94b5da4c4316;sortingGameUserMetrics;30;ES;2;2;250;female;2
23f9f859-11e1-4e45-a89a-449f1de37a4c;sortingGameUserMetrics;;;19;15;3008;;15
992503e9-a90b-469f-9c59-feebb70302e8;sortingGameUserMetrics;unspecified;ES;;;;unspecified;
7d681ef8-f8ac-4749-b19f-bcc425ca3e2b;sortingGameUserMetrics;;;2;1;72;;1
20de3f75-03a6-47f2-b4d4-9b4fdde9c842;sortingGameUserMetrics;;;9;8;1437;;8
766946e0-a1bf-4ae6-a8a2-f5c278f4eaa2;sortingGameUserMetrics;;;6;5;1033;;5
ca4505a9-9341-4f0b-9288-12f21e28361b;sortingGameUserMetrics;45;IT;;;;male;
85428ac3-3f37-49fd-aa2f-ee7de82adf82;sortingGameUserMetrics;;;4;4;383;;4
d4758719-a971-47ed-836b-3bc379c1b5a3;sortingGameUserMetrics;;;5;5;378;;5
e36cd088-2d8a-4b11-9de1-f45897fd2035;sortingGameUserMetrics;28;ES;5;4;425;female;4
68cb05f1-5402-4073-b8f6-3ecf25a525a5;sortingGameUserMetrics;28;ES;5;4;363;female;4
f7c43fc2-36b5-4e31-a9e3-74de2ae917b2;sortingGameUserMetrics;45;ES;2;2;175;female;2
cb8d94f9-01fc-48bf-a52d-2e9175bab4a9;sortingGameUserMetrics;41;ES;33;26;6223;female;26
edb2ad1f-cfa4-473c-98d4-6f58f685b7c2;sortingGameUserMetrics;;;47;26;8129;;17
1ac4eccd-b0a2-4dd3-af29-2484465a9f17;sortingGameUserMetrics;35;PT;55;10;1793;male;4
cb61f392-8fee-49b3-bb41-16f6e756f8fe;sortingGameUserMetrics;7;GR;;;;female;
e7e7c322-996b-4aa6-bb2f-6ea5c0319182;sortingGameUserMetrics;;;35;26;6692;;26
15ab7f69-6c4c-4e35-8879-a5c6c706cefe;sortingGameUserMetrics;;;101;26;10073;;12
9570b4e2-4695-42d5-b08a-3cef54a2140a;sortingGameUserMetrics;;;15;13;2335;;13
29cce536-199b-46be-8ada-bed364328111;sortingGameUserMetrics;;;82;26;8671;;3
a2cffee3-84db-46f5-9f54-1ff8c717927f;sortingGameUserMetrics;;;1;1;76;;1
71c848f9-dd5d-4e3b-ba83-3a238a5f5934;sortingGameUserMetrics;9;ES;13;11;2415;female;11
6f693537-e5a2-48f0-8c1a-57ed16a1171f;sortingGameUserMetrics;;;2;2;196;;2
cc8405cf-96a2-490c-b95b-f30ad4c2f48a;sortingGameUserMetrics;10;PT;5;5;629;male;5
7bd40fe6-4d11-43e4-97a2-8ae56499f1d1;sortingGameUserMetrics;;;7;4;458;;2
47511ee4-b70c-4ae2-ba5a-c8257fc02281;sortingGameUserMetrics;unspecified;GR;;;;unspecified;
925036da-13a4-4506-ba6e-6bc207ebc98a;sortingGameUserMetrics;;;1;1;94;;1
e6e18de1-6444-4455-8bdb-3c244378249a;sortingGameUserMetrics;;;39;26;8084;;26
2187b670-7aec-4c8e-bd2c-b2cfdff7715a;sortingGameUserMetrics;12;ES;6;5;1083;female;5
b29d0df9-de82-4fdb-9e28-4fe2388116ef;sortingGameUserMetrics;28;ES;2;1;128;female;1
5e05179a-8c7c-4c6e-bf6e-d7a1e9aa824c;sortingGameUserMetrics;12;GR;;;;female;
6fd3573c-0be4-48f3-9bff-4d2329e006c0;sortingGameUserMetrics;12;GR;1;1;88;female;
9805d862-1fa2-48a7-89be-9f0f4f837289;sortingGameUserMetrics;40;ES;1;1;89;female;1
80e05bf9-97a8-49e8-ac32-62fb684c5854;sortingGameUserMetrics;;;;;;;24
22ef882e-222e-4517-83d0-ff4f6dffd2df;sortingGameUserMetrics;16;GR;32;26;7691;male;26
a4b7cb81-628b-4638-a730-eef0e836ccab;sortingGameUserMetrics;12;GR;1;1;90;female;
e37bf7f5-f480-4948-935e-096ca1b1cd51;sortingGameUserMetrics;12;ES;;;;female;
010890d0-9dfc-4f97-9844-1f3cc2be349e;sortingGameUserMetrics;12;ES;1;1;90;female;
87f212de-de47-4dfd-a634-3e95ad2caed7;sortingGameUserMetrics;12;ES;1;1;94;female;
e57dd2a2-3697-4947-91d0-ce6184e19a94;sortingGameUserMetrics;51;ES;;;;female;
c757b29a-6057-4b82-8d5e-0d33dbdbc750;sortingGameUserMetrics;25;GR;16;14;3261;female;
76bd7466-f1ff-4013-b343-5d9a958410ea;sortingGameUserMetrics;20;GR;22;18;5002;female;
bbd4faec-0645-4d25-8765-a8e9a6ded9d1;sortingGameUserMetrics;15;GR;;;;female;
27883638-9c38-4d3d-89d9-16daa1107d52;sortingGameUserMetrics;20;GR;21;18;3683;unspecified;
71e2bb90-5e9a-44aa-9cc9-03fc4b59bdbb;sortingGameUserMetrics;15;GR;15;13;2372;female;
aeb60834-0a9a-459c-bc42-8cd18bd461b1;sortingGameUserMetrics;25;ES;1;1;128;female;1
847754ab-f4d0-4417-9010-e2615c7e4abf;sortingGameUserMetrics;20;ES;1;1;96;male;
6c6911eb-a314-40b2-960c-94017fe2e942;sortingGameUserMetrics;;;11;9;1786;;
051b5d3e-f4bb-43f2-a49a-e569bfbb8190;sortingGameUserMetrics;28;ES;19;15;3312;male;
784a9ca2-24f6-40ba-b5eb-350ae1fe1607;sortingGameUserMetrics;16;GR;19;12;3074;male;
8d0644c0-d905-4f31-8030-4c4cd15380a8;sortingGameUserMetrics;16;GR;16;14;2730;female;
33c138b0-a950-413a-b2cd-37bbea14bd0f;sortingGameUserMetrics;12;ES;22;17;3550;male;
861be81f-c5ee-4522-92ef-45053b99f440;sortingGameUserMetrics;15;GR;;;;male;
60e2f482-dd65-41df-85b8-53865e1320c6;sortingGameUserMetrics;unspecified;GR;42;26;6324;male;
9fa29c9d-f0aa-4cf6-93e0-07688635b711;sortingGameUserMetrics;38;ES;22;16;2277;female;
a5f297e1-2ef3-45f6-b084-0513843a2f8a;sortingGameUserMetrics;15;GR;39;26;7715;male;
519f43e6-f32c-4f1d-9523-f507128db49d;sortingGameUserMetrics;;;4;4;465;;
b54d4d2b-a9b5-41be-bfe4-f96526ba3faa;sortingGameUserMetrics;12;ES;24;18;2846;unspecified;
40f0b1fc-945b-4144-bbc6-b69f357c08ba;sortingGameUserMetrics;12;ES;1;1;128;male;
a0ae99e9-1201-42f8-9857-f01d58bc0218;sortingGameUserMetrics;26;ES;6;5;1354;male;
9d4825cf-f4f2-4613-8c79-a3d30c9e840d;sortingGameUserMetrics;;;5;3;308;;
808d1c77-8cef-4d23-8aa7-e96289d7786a;sortingGameUserMetrics;20;ES;34;26;6306;female;
a62c74e8-22da-47ca-a950-a1f6bc44787e;sortingGameUserMetrics;51;ES;2;2;217;female;
2dfb9d1f-61cf-4d18-a8b5-2db08026ec21;sortingGameUserMetrics;unspecified;GR;11;10;1627;female;
a9d10e50-bc45-4699-8359-475e37a0e28c;sortingGameUserMetrics;12;ES;12;8;1669;female;
132a3f2e-956b-499e-8f9a-496f70278e94;sortingGameUserMetrics;15;GR;20;17;3993;male;
d3d27312-cd38-400c-9d32-7788961b8fdd;sortingGameUserMetrics;16;GR;11;10;1877;female;
2ac812ef-c912-4e01-9334-08ae68d8ce17;sortingGameUserMetrics;15;GR;13;11;1882;male;
68e1ddfd-b421-43cb-aafb-0b0b434c5b9c;sortingGameUserMetrics;18;GR;8;7;1179;female;
f68f4b1e-3f97-4e53-8623-2a4439369167;sortingGameUserMetrics;2;ES;;;;female;
31c9c51c-484d-4074-8374-e7f9e399a32e;sortingGameUserMetrics;40;ES;32;26;9240;male;
2cfc5c40-7f06-41e5-81c9-09f3b981b19a;sortingGameUserMetrics;6;PT;3;3;368;female;
fd0fbe61-508a-4bb1-a342-b7a7714a239f;sortingGameUserMetrics;14;ES;8;5;771;male;
16ba08ca-0929-4239-a733-280a3fded4de;sortingGameUserMetrics;12;ES;;;;male;
29252036-809e-44e0-bec2-4c068b22f36c;sortingGameUserMetrics;48;PT;2;2;196;female;
ba5fa3b7-d463-4230-935c-4b7235b50b66;sortingGameUserMetrics;9;ES;11;9;1171;male;
4392a569-46a8-4322-9c25-c4e52839e6d6;sortingGameUserMetrics;9;ES;;;;female;
f440ea65-3b44-4ffb-b3e3-ada7421374f2;sortingGameUserMetrics;9;ES;22;10;1798;female;
3cb3f1ab-3d5c-426b-9eb1-27ad1cb7529c;sortingGameUserMetrics;unspecified;ES;13;7;1095;female;
a227c389-ecbc-40d8-81a6-efe7605f8c5c;sortingGameUserMetrics;10;ES;5;5;448;female;
a3a29c99-8243-4317-98ac-adbdb9aa9521;sortingGameUserMetrics;8;ES;35;26;3295;female;
c030782c-e639-4563-84ff-9308e2b12a9e;sortingGameUserMetrics;10;ES;;;;female;
