;Vehiculo;Fecha;Tag;Frecuencia RSU;Ruta;Peso;refSortingType
0;7501JXG;28/12/2018 16:12:00;ZAMUO;4;24;150;SortingType:10
1;7501JXG;28/12/2018 16:09:00;ZAMIO;2;24;518;SortingType:10
2;1541CLM;27/12/2018 08:42:00;F07C37;5;13;74;SortingType:10
3;1541CLM;27/12/2018 08:17:00;F0C108;5;13;25;SortingType:10
4;1541CLM;24/12/2018 09:09:59;F07C37;5;13;8;SortingType:10
5;1541CLM;21/12/2018 08:19:00;F07C37;5;17;62;SortingType:10
6;1541CLM;21/12/2018 08:01:59;F0C108;5;17;5;SortingType:10
7;1541CLM;20/12/2018 07:32:59;F07C37;5;16;26;SortingType:10
8;1541CLM;20/12/2018 07:14:00;F0C108;5;16;21;SortingType:10
9;1541CLM;19/12/2018 08:08:00;F07C37;5;15;83;SortingType:10
10;1541CLM;19/12/2018 07:47:00;F0C108;5;15;12;SortingType:10
11;1541CLM;18/12/2018 08:23:59;F07C37;5;14;38;SortingType:10
12;1541CLM;18/12/2018 08:01:00;F0C108;5;14;19;SortingType:10
13;1541CLM;17/12/2018 08:32:59;F07C37;5;13;56;SortingType:10
14;1541CLM;17/12/2018 08:14:00;F0C108;5;13;29;SortingType:10
15;7501JXG;14/12/2018 15:38:59;ZAMIO;2;27;338;SortingType:10
16;2618JYP;14/12/2018 09:38:59;ZAMUO;4;25;37;SortingType:10
17;1541CLM;14/12/2018 08:26:00;F07C37;5;17;41;SortingType:10
18;1541CLM;14/12/2018 08:06:00;F0C108;5;17;41;SortingType:10
19;1541CLM;13/12/2018 08:32:00;F07C37;5;16;46;SortingType:10
20;1541CLM;13/12/2018 08:10:59;F0C108;5;16;18;SortingType:10
21;2618JYP;30/11/2018 11:10:00;ZAMIO;2;24;76;SortingType:10
22;2618JYP;30/11/2018 09:29:00;ZAMUO;4;24;3;SortingType:10
23;7501JXG;30/11/2018 09:15:59;ZAMIO;2;24;1012;SortingType:10
24;1541CLM;30/11/2018 08:28:59;F07C37;5;17;58;SortingType:10
25;1541CLM;30/11/2018 08:06:59;F0C108;5;17;44;SortingType:10
26;2618JYP;30/11/2018 07:25:59;ZAMIO;2;24;55;SortingType:10
27;1541CLM;29/11/2018 08:28:59;F07C37;5;16;52;SortingType:10
28;1541CLM;29/11/2018 08:06:59;F0C108;5;16;23;SortingType:10
29;1541CLM;28/11/2018 08:35:00;F07C37;5;15;53;SortingType:10
30;1541CLM;28/11/2018 08:14:00;F0C108;5;15;6;SortingType:10
31;1541CLM;27/11/2018 08:39:00;F07C37;5;14;87;SortingType:10
32;1541CLM;27/11/2018 08:15:00;F0C108;5;14;27;SortingType:10
33;1541CLM;26/11/2018 08:35:00;F07C37;5;13;119;SortingType:10
34;1541CLM;26/11/2018 08:15:00;F0C108;5;13;48;SortingType:10
35;7501JXG;23/11/2018 10:14:00;ZAMIO;2;24;1012;SortingType:10
36;2618JYP;23/11/2018 09:00:59;ZAMUO;4;24;31;SortingType:10
37;1541CLM;23/11/2018 08:42:00;F07C37;5;17;20;SortingType:10
38;1541CLM;23/11/2018 08:19:00;F0C108;5;17;74;SortingType:10
39;1541CLM;22/11/2018 07:56:00;F07C37;5;16;73;SortingType:10
40;1541CLM;22/11/2018 07:32:00;F0C108;5;16;44;SortingType:10
41;1541CLM;21/11/2018 08:39:00;F07C37;5;15;130;SortingType:10
42;1541CLM;21/11/2018 08:15:00;F0C108;5;15;48;SortingType:10
43;1541CLM;20/11/2018 08:51:00;F07C37;5;14;112;SortingType:10
44;1541CLM;20/11/2018 08:24:59;F0C108;5;14;48;SortingType:10
45;1541CLM;19/11/2018 08:33:59;F07C37;5;13;97;SortingType:10
46;1541CLM;19/11/2018 08:10:59;F0C108;5;13;3;SortingType:10
47;1541CLM;16/11/2018 08:19:59;F07C37;5;17;55;SortingType:10
48;1541CLM;16/11/2018 07:54:00;F0C108;5;17;18;SortingType:10
