;Vehiculo;Fecha;Tag;Frecuencia RSU;Ruta;Peso;refSortingType
0;7501JXG;31/12/2018 13:18:59;F0B5A8;5;2;156;SortingType:7
1;7501JXG;31/12/2018 13:18:00;F08144;5;2;84;SortingType:7
2;7501JXG;31/12/2018 13:14:59;F094E9;5;2;62;SortingType:7
3;7501JXG;31/12/2018 13:12:59;F0A402;5;2;68;SortingType:7
4;7501JXG;31/12/2018 13:07:59;F0AA46;5;2;102;SortingType:7
5;7501JXG;31/12/2018 13:05:59;F0C8DC;6;2;86;SortingType:7
6;7501JXG;31/12/2018 13:03:59;F0986F;6;2;2;SortingType:7
7;7501JXG;31/12/2018 13:02:00;F0BD14;5;2;130;SortingType:7
8;7501JXG;31/12/2018 12:58:59;F0C215;5;2;96;SortingType:7
9;2618JYP;31/12/2018 08:32:59;B5417A;2;23;30;SortingType:6
10;2618JYP;31/12/2018 08:01:00;B54220;2;23;8;SortingType:6
11;2618JYP;28/12/2018 07:36:00;F0C5CA;5;23;5;SortingType:6
12;2618JYP;28/12/2018 07:36:00;F0B726;5;23;22;SortingType:6
13;2618JYP;28/12/2018 07:30:00;8EF3E4;5;23;7;SortingType:6
14;2618JYP;28/12/2018 07:30:00;F099C0;5;23;7;SortingType:6
15;2618JYP;28/12/2018 07:27:00;F09F84;5;23;42;SortingType:6
16;2618JYP;28/12/2018 07:25:59;F08E0A;5;23;22;SortingType:6
17;2618JYP;28/12/2018 07:23:59;F0897C;5;23;10;SortingType:6
18;2618JYP;28/12/2018 07:20:00;F0C6DD;5;23;0;SortingType:6
19;2618JYP;28/12/2018 07:18:00;F0A3D4;5;23;0;SortingType:6
20;2618JYP;28/12/2018 07:09:00;F07DE1;5;23;7;SortingType:6
21;2618JYP;28/12/2018 07:07:00;F0B38D;5;23;7;SortingType:6
22;2618JYP;28/12/2018 07:07:00;F08A9C;5;23;7;SortingType:6
23;2618JYP;28/12/2018 07:03:59;F0C9DD;5;23;7;SortingType:6
24;2618JYP;28/12/2018 07:00:59;F08DD9;5;23;7;SortingType:6
25;2618JYP;28/12/2018 06:54:59;F0BA64;5;23;7;SortingType:6
26;2618JYP;28/12/2018 06:51:00;F0C2C0;5;23;326;SortingType:6
27;2618JYP;28/12/2018 06:49:59;F0AC86;5;23;3;SortingType:6
28;2618JYP;28/12/2018 06:47:59;F0978A;2;23;46;SortingType:6
29;2618JYP;28/12/2018 06:42:59;F0841B;6;23;11;SortingType:6
