;Vehiculo;Fecha;Tag;Frecuencia RSU;Ruta;Peso;refSortingType
0;2618JYP;31/12/2018 11:32:59;B54D5D;2;23;8;SortingType:1
1;2618JYP;31/12/2018 11:21:00;B541E8;2;23;51;SortingType:1
2;2618JYP;31/12/2018 08:53:00;8EC51B;2;23;160;SortingType:1
3;2618JYP;31/12/2018 08:51:59;8BBE89;2;23;99;SortingType:1
4;2618JYP;31/12/2018 08:48:59;8EB194;2;23;6;SortingType:1
5;2618JYP;31/12/2018 08:46:59;8EF988;2;23;74;SortingType:1
6;2618JYP;31/12/2018 08:46:00;8EB5C9;2;23;75;SortingType:1
7;2618JYP;31/12/2018 08:42:59;B54966;2;23;20;SortingType:1
8;2618JYP;31/12/2018 08:42:00;B53FCE;2;23;29;SortingType:1
9;2618JYP;31/12/2018 08:28:59;B591A9;2;23;12;SortingType:1
10;2618JYP;31/12/2018 08:10:00;B54E1F;2;23;16;SortingType:1
11;2618JYP;31/12/2018 08:08:00;B5780C;2;23;93;SortingType:1
12;2618JYP;31/12/2018 08:01:00;B54B33;2;23;42;SortingType:1
13;2618JYP;31/12/2018 08:01:00;B54C80;2;23;68;SortingType:1
14;2618JYP;31/12/2018 07:59:59;B54CA8;2;23;75;SortingType:1
15;2618JYP;31/12/2018 07:57:59;B57643;2;23;40;SortingType:1
16;2618JYP;31/12/2018 07:56:00;B54B6A;2;23;16;SortingType:1
17;2618JYP;31/12/2018 07:52:59;B57D97;2;23;24;SortingType:1
18;2618JYP;31/12/2018 07:48:59;B54AE5;2;23;452;SortingType:1
19;2618JYP;31/12/2018 07:45:59;B55094;2;23;8;SortingType:1
20;2618JYP;31/12/2018 07:43:59;B5422C;2;23;55;SortingType:1
21;2618JYP;31/12/2018 07:41:59;B579E2;2;23;25;SortingType:1
22;2618JYP;31/12/2018 07:39:59;B58E2C;2;23;30;SortingType:1
23;2618JYP;31/12/2018 07:39:59;B57634;2;23;40;SortingType:1
24;2618JYP;31/12/2018 07:38:00;B551E3;2;23;108;SortingType:1
25;2618JYP;31/12/2018 07:30:59;B54E25;2;23;3794;SortingType:1
26;2618JYP;31/12/2018 07:30:59;B5512C;2;23;7;SortingType:1
27;2618JYP;31/12/2018 07:27:00;B57E4E;2;23;7;SortingType:1
28;2618JYP;31/12/2018 07:23:59;B550F7;2;23;12;SortingType:1
29;2618JYP;31/12/2018 07:21:00;8EC5B1;2;23;29;SortingType:1
30;2618JYP;31/12/2018 07:18:59;B58E86;2;23;43;SortingType:1
31;7501JXG;31/12/2018 05:28:59;ZAMIR;2;7;248;SortingType:1
32;7501JXG;28/12/2018 16:32:59;F0C5C1;2;24;148;SortingType:2
33;7501JXG;28/12/2018 16:30:59;F08245;5;24;144;SortingType:2
34;7501JXG;28/12/2018 16:30:00;F0AF5F;5;24;156;SortingType:2
35;7501JXG;28/12/2018 16:29:00;F0CE51;5;24;118;SortingType:2
36;7501JXG;28/12/2018 16:27:59;F0CBD7;5;24;140;SortingType:2
37;7501JXG;28/12/2018 16:27:00;F0BBC3;5;24;312;SortingType:2
38;7501JXG;28/12/2018 16:25:00;F0C115;5;24;410;SortingType:2
39;7501JXG;28/12/2018 16:23:59;F09FAB;6;24;62;SortingType:2
40;7501JXG;28/12/2018 16:23:00;F08A29;6;24;78;SortingType:2
41;7501JXG;28/12/2018 16:21:59;F084B1;6;24;42;SortingType:2
42;7501JXG;28/12/2018 16:21:00;F0CF85;5;24;336;SortingType:2
43;7501JXG;28/12/2018 16:18:59;F0BDB2;5;24;234;SortingType:2
44;7501JXG;28/12/2018 16:18:00;F0BB15;5;24;306;SortingType:2
45;7501JXG;28/12/2018 16:16:00;F0AD36;5;24;192;SortingType:2
46;7501JXG;28/12/2018 16:16:00;F09AA3;5;24;326;SortingType:2
47;7501JXG;28/12/2018 16:12:59;F0958E;5;24;70;SortingType:2
48;2618JYP;28/12/2018 10:45:00;ZAMIR;2;23;37;SortingType:1
49;2618JYP;28/12/2018 10:45:00;B54212;2;23;42;SortingType:1
50;2618JYP;28/12/2018 10:36:00;B58F00;2;23;43;SortingType:1
51;2618JYP;28/12/2018 10:30:00;B59081;2;23;17;SortingType:1
52;2618JYP;28/12/2018 10:18:59;8EFFC0;2;23;0;SortingType:1
53;2618JYP;28/12/2018 10:18:00;8EC253;2;23;0;SortingType:1
54;2618JYP;28/12/2018 10:16:00;8F018D;2;23;44;SortingType:1
55;2618JYP;28/12/2018 10:14:00;B54432;2;23;127.9;SortingType:1
56;2618JYP;28/12/2018 10:12:59;ZAMUR;4;23;84.9;SortingType:2
57;2618JYP;28/12/2018 10:11:00;B549F3;2;23;23;SortingType:1
58;2618JYP;28/12/2018 10:09:59;B56E49;2;23;52;SortingType:1
59;2618JYP;28/12/2018 10:05:59;8EC5B1;2;23;42;SortingType:1
60;2618JYP;28/12/2018 10:02:59;B54C9A;2;23;40;SortingType:1
61;2618JYP;28/12/2018 10:02:00;B5503D;2;23;29;SortingType:1
62;2618JYP;28/12/2018 09:58:00;B54AEB;2;23;60;SortingType:1
63;2618JYP;28/12/2018 09:56:59;B578B8;2;23;19;SortingType:1
64;2618JYP;28/12/2018 09:56:59;ZAMIR;2;23;3;SortingType:1
65;2618JYP;28/12/2018 09:56:00;B57923;2;23;62;SortingType:1
66;2618JYP;28/12/2018 09:54:59;B58BFF;2;23;36;SortingType:1
67;2618JYP;28/12/2018 09:53:00;B5444B;2;23;20;SortingType:1
68;2618JYP;28/12/2018 09:51:00;B549D0;2;23;14;SortingType:1
69;2618JYP;28/12/2018 09:51:00;B590AD;2;23;49;SortingType:1
70;2618JYP;28/12/2018 09:49:00;B54030;2;23;13;SortingType:1
71;7501JXG;28/12/2018 06:13:00;ZAMIR;2;11;162;SortingType:1
72;2618JYP;27/12/2018 12:02:00;B54212;2;23;119;SortingType:1
73;2618JYP;27/12/2018 11:55:00;B54236;2;23;76;SortingType:1
74;2618JYP;27/12/2018 11:53:00;B591B7;2;23;11.9;SortingType:1
75;2618JYP;27/12/2018 11:53:00;ZAMIR;2;23;0;SortingType:1
76;2618JYP;27/12/2018 11:48:00;B55063;2;23;27;SortingType:1
77;2618JYP;27/12/2018 11:46:59;B54BE3;2;23;26;SortingType:1
78;2618JYP;27/12/2018 11:46:00;B595FD;2;23;73;SortingType:1
79;2618JYP;27/12/2018 11:39:00;B57828;2;23;43;SortingType:1
80;2618JYP;27/12/2018 11:30:59;B56E59;2;23;47.9;SortingType:1
